official_name,lat,lon,Level of Education,Status of School,Sponsor of School,School Institution Type_1,School Institution Type_2,School Institution Type_3,Pupil Teacher Ratio,Pupil Classroom Ratio,Pupil Toilet Ratio,Total Number of Classrooms,Boys Toilets,Girls Toilets,Teachers Toilets,Total Toilets,Total Boys,Total Girls,Total Enrolment,GOK TSC Male,GOK TSC Female,Local Authority Male,Local Authority Female,PTA BOG Male,PTA BOG Female,Others Male,Others Female,Non-Teaching Staff Male,Non-Teaching Staff Female,Province,District,Division,Location,Costituency
PALM OLIVE ACADEMY,-1.311195, 36.778697,PRIMARY SCHOOL,PRIVATE,COMMUNITY,MIXED,DAY ONLY,ORDINARY,22.6,22.6,45.3,8,2,2,1,0,80,101,181,0,0,0,0,0,0,3,5,2,0,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
RAILA EDUCATIONAL CENTER-PRIMARY,-1.30988, 36.782858,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,24.3,36.4,45.5,10,4,4,4,0,181,183,364,0,0,0,0,0,0,9,6,3,0,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
DANA ACADEMY PE PRIMARY,-1.306234, 36.774189,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
SWEET VALLEY PRI SCH,-1.30495, 36.775597,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
TENDERLINGS PRI SCH,-1.306151, 36.775464,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
HAPPY KIDS PRI SCH,-1.30766, 36.775208,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,INTEGRATED,12.2,12.2,30.5,10,2,2,1,0,52,70,122,0,0,0,0,0,0,4,6,2,4,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
SKYVIEW PRI. SCH,-1.307092, 36.77647,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,2.5,2.5,5,2,0,1,1,0,4,1,5,0,0,0,0,1,1,0,0,1,1,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
JOYSPRING ED CENTER- PRI. SCH,-1.30949, 36.774028,PRIMARY SCHOOL,PRIVATE,COMMUNITY,MIXED,DAY ONLY,INTEGRATED,40.5,40.5,81,4,1,1,0,0,82,80,162,0,0,0,0,0,0,2,2,2,0,NAIROBI,NAIROBI,KIBERA,OLYMPIC,LANGATA
CHRISTIAN HOPE NET ST CATHERINE PRI.,-1.312752, 36.77438,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,19,12.7,,3,0,0,0,0,15,23,38,0,0,0,0,0,2,0,0,0,2,NAIROBI,NAIROBI,KIBERA,LANGATA,LANGATA
SOWETO ACADEMY  - PRI,-1.313557, 36.77483,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,23.8,35.8,35.8,8,4,4,2,0,0,0,286,0,0,0,0,8,4,0,0,1,4,NAIROBI,NAIROBI,KIBERA,LANGATA,LANGATA
SODA ACADEMY- PRI SCH,-1.310409, 36.75456,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,INTEGRATED,31.5,37.8,94.5,5,1,1,0,0,80,109,189,0,0,0,0,5,1,0,0,1,3,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
NEW DIRECTION PRI SCH,-1.308774, 36.776788,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY & BOARDING,ORDINARY,8.6,5.4,10.8,8,2,2,1,0,19,24,43,0,0,0,0,0,0,2,3,3,2,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
FLORENCE ACADEMY- PRI,-1.309573, 36.776351,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,15.1,30.2,21.6,5,4,3,2,0,0,0,151,0,0,0,0,0,0,7,3,1,0,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
REDROSE ACADEMY,-1.309801, 36.776493,PRIMARY SCHOOL,PRIVATE,COMMUNITY,MIXED,DAY ONLY,ORDINARY,7.3,9.7,,3,0,0,0,0,10,19,29,0,0,0,0,0,0,0,4,2,3,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
KENYA ADONAIMASTERS & SERVANTS OF CHILDREN- PRI,-1.310104, 36.776538,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,3,6,15,5,1,1,1,0,0,0,30,0,0,0,0,4,6,0,0,0,1,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
TUNZA CHILDREN CENTRE-PRI SCH,-1.309925, 36.776112,PRIMARY SCHOOL,PRIVATE,COMMUNITY,MIXED,DAY ONLY,ORDINARY,10.9,14,49,7,1,1,1,0,53,45,98,0,0,0,0,0,0,4,5,2,2,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
RFC CENTER PRI SCH,-1.310389, 36.776681,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,21,14,21,3,1,1,1,0,19,23,42,0,0,0,0,0,0,0,2,0,1,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
OLYMPIC ACADEMY- PRI SCH,-1.312149, 36.776944,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,15,11.3,11.3,4,2,2,2,0,0,0,45,0,0,0,0,0,0,0,3,1,0,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
SPURGEONS ACADEMY,-1.311901, 36.779476,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,158,39.5,,8,0,0,0,0,163,153,316,0,0,0,0,0,0,1,1,0,0,NAIROBI,NAIROBI,KIBERA,SARANGOMBE,LANGATA
JEREMIC ADVENTIST PRI. SCH.,-1.309527, 36.779913,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,24,30,,8,0,0,0,0,129,111,240,0,0,0,0,0,0,0,10,0,1,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
KISCE PRI SCH,-1.311616, 36.780039,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
HIS IMPERIAL MAJESTY PRIMARY SCH,-1.311989, 36.780632,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,,10.7,8,3,2,2,1,0,14,18,32,0,0,0,0,0,0,0,0,2,0,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
NAZARENE SELF HELP PRI SCH,-1.31311, 36.777336,PRIMARY SCHOOL,PRIVATE,COMMUNITY,MIXED,DAY ONLY,ORDINARY,26.1,39.1,78.3,8,2,2,2,0,135,178,313,0,0,0,0,0,0,7,5,1,2,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA
HOLY TRINITY CHURCH PRI. SCH,-1.304373, 36.782482,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,5.5,7.3,,6,0,0,0,0,0,0,44,0,0,0,0,3,5,0,0,1,1,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
OPTIMISTIC ED CENTER PRI SCH.,-1.305788, 36.783918,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,13.8,55,,1,0,0,0,0,26,29,55,0,0,0,0,0,0,0,4,0,1,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
RESTORATION ACADEMY- PRI.,-1.304776, 36.780399,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,16,24,48,4,1,1,1,0,57,39,96,0,0,0,0,0,5,1,0,0,0,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
RIZIKI DAY CARE- PRI,-1.304776, 36.780399,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
LITTLE PRINCE PRI SCH.,-1.305221, 36.778719,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
GREEN PASTURES PRI. SCH,-1.308223, 36.78302,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,22.2,20,40,10,2,3,1,0,113,87,200,0,0,0,0,0,0,3,6,3,1,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
KIBERA PRI. SCH.,-1.307792, 36.783362,PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,MIXED,DAY ONLY,INTEGRATED,72.3,74.5,119.3,32,8,12,5,0,1117,1268,2385,7,26,0,0,0,0,0,0,2,0,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
ST JULIUS PRIMARY SCH,-1.309856, 36.783821,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
STARA KICAK RESCUE CENTER & PRI SCH,-1.309227, 36.785128,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,INTEGRATED,52.8,60.3,105.5,7,2,2,1,0,172,250,422,0,0,0,0,0,0,7,1,6,10,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
AKILI COMPLEX PRI SCH,-1.307718, 36.788155,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,BOARDING ONLY,INTEGRATED,15.3,23,,4,0,0,0,0,49,43,92,0,0,0,0,0,0,3,3,1,1,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
RISA CHILDRENS CENTER PRI,-1.307718, 36.788657,PRIMARY SCHOOL,PRIVATE,COMMUNITY,MIXED,DAY ONLY,ORDINARY,56,14,56,8,1,1,1,0,52,60,112,0,0,0,0,0,0,0,2,1,1,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
HURUMA KIBERA PRI. SCH,-1.30724, 36.788968,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,BOARDING ONLY,ORDINARY,24.5,24.5,49,8,2,2,1,0,0,0,196,0,0,0,0,0,0,4,4,2,0,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
CAVALRY PRI. SCH.,-1.306231, 36.789141,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,32.6,48.9,97.8,8,2,2,2,0,186,205,391,0,0,0,0,0,0,9,3,5,5,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
MAKINA BAPTIST PRI. SCH,-1.305835, 36.789196,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,DAY ONLY,ORDINARY,39.1,39.1,39.1,8,4,4,1,0,144,169,313,0,0,0,0,0,0,6,2,2,2,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
MAKINA SELF HELP PRI. SCH.,-1.305073, 36.78914,PRIMARY SCHOOL,PRIVATE,COMMUNITY,MIXED,DAY ONLY,ORDINARY,18.6,16.7,16.7,10,5,5,3,0,84,83,167,0,0,0,0,0,0,4,5,4,5,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
NEW ADVENTURE PRI. SCH,-1.305218, 36.78946,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,41,51.3,102.5,8,2,2,1,0,197,213,410,0,0,0,0,0,0,5,5,2,2,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA
